gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	266	160	339	0
A1BG-AS1	chr19	355	271	383	1
A1CF	chr10	4	0	2	0
A2M	chr12	5888	6440	11803	6
A2M-AS1	chr12	133	118	126	0
A2ML1	chr12	16	4	11	0
A2ML1-AS1	chr12	8	7	9	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	0	1	0	0
A3GALT2	chr1	0	1	4	0
A4GALT	chr22	274	219	390	0
A4GNT	chr3	21	1	3	0
AA06	chr17	0	0	0	0
AAAS	chr12	1333	1812	4799	1
AACS	chr12	675	703	1649	0
AACSP1	chr5	2	1	0	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	1	0	3	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	1	2	2	0
AADACL4	chr1	0	0	0	0
AADACP1	chr3	0	0	0	0
AADAT	chr4	564	693	968	0
AAGAB	chr15	720	648	1446	0
AAK1	chr2	1566	1629	2699	1
AAMDC	chr11	133	111	526	0
AAMP	chr2	1369	1189	5070	2
AANAT	chr17	2	1	1	0
AARD	chr8	50	14	66	0
AARS1	chr16	8864	10071	11776	9
AARS1P1	chr4	0	0	0	0
AARS2	chr6	529	420	2144	1
AARSD1	chr17	619	674	1495	0
AARSD1P1	chrX	3	3	33	0
AASDH	chr4	243	239	1367	0
AASDHPPT	chr11	751	922	2345	2
AASS	chr7	2609	997	2406	3
AATBC	chr21	28	153	18	0
AATF	chr17	0	0	1595	0
AATK	chr17	668	814	303	0
AB015752.3	chr8	1	0	4	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	1842	1628	1680	0
ABBA01000934.1	chr3	0	0	0	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	2	0	0	0
ABC10-44372100G24.1	chr22	0	0	0	0
ABC11-4932300O16.1	chr10	0	0	0	0
ABC12-46663800M24.1	chr8	340	275	176	0
ABC12-46663800M24.2	chr8	48	52	47	0
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	0	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	45	11	33	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	2067	1912	5440	1
ABCA10	chr17	10	52	82	0
ABCA11P	chr4	302	153	239	0
ABCA12	chr2	5	4	9	0
ABCA13	chr7	10	9	17	0
ABCA17P	chr16	33	23	6	0
ABCA2	chr9	6319	7106	11786	3
ABCA3	chr16	3877	2469	3238	4
ABCA4	chr1	16	20	43	0
ABCA5	chr17	240	379	833	0
ABCA6	chr17	8	12	13	0
ABCA7	chr19	1153	1159	1030	3
ABCA8	chr17	303	496	673	0
ABCA9	chr17	4	15	13	0
ABCA9-AS1	chr17	0	0	0	0
ABCB1	chr7	5	10	17	0
ABCB10	chr1	234	147	1388	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	0	0	0	0
ABCB4	chr7	15	7	22	0
ABCB5	chr7	10	0	1	0
ABCB6	chr2	1921	3017	4880	2
ABCB7	chrX	168	179	1615	0
ABCB8	chr7	1766	1892	1691	0
ABCB9	chr12	1123	1097	1106	0
ABCC1	chr16	35	48	2448	0
ABCC10	chr6	1354	1522	2684	0
ABCC11	chr16	12	5	123	0
ABCC12	chr16	1	0	1	0
ABCC13	chr21	1	1	0	0
ABCC2	chr10	16	34	82	0
ABCC3	chr17	193	426	345	0
ABCC4	chr13	181	226	361	0
ABCC5	chr3	2002	2071	6699	1
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	54	16	439	0
ABCC6P1	chr16	39	3	100	0
ABCC6P2	chr16	0	0	1	0
ABCC8	chr11	78	326	428	0
ABCC9	chr12	1273	3058	7882	1
ABCD1	chrX	772	712	1202	1
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	1	0	0
ABCD1P5	chr2	0	0	1	0
ABCD2	chr12	14	16	31	0
ABCD3	chr1	913	995	2445	0
ABCD4	chr14	2184	1538	2849	2
ABCE1	chr4	622	750	4346	1
ABCF1	chr6	0	0	5414	0
ABCF2	chr7	640	891	3393	0
ABCF2-H2BE1	chr7	207	224	2698	0
ABCF2P1	chr3	0	0	0	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	947	1150	3594	1
ABCG1	chr21	103	213	256	0
ABCG2	chr4	4	4	6	0
ABCG4	chr11	28	48	167	0
ABCG5	chr2	0	26	4	0
ABCG8	chr2	2	0	0	0
ABHD1	chr2	5	14	20	0
ABHD10	chr3	398	290	1130	1
ABHD11	chr7	85	141	346	0
ABHD11-AS1	chr7	1	1	2	0
ABHD12B	chr14	12	28	24	0
ABHD13	chr13	165	171	1216	1
ABHD14A	chr3	678	850	75	0
ABHD14A-ACY1	chr3	605	899	866	0
ABHD14B	chr3	697	185	684	0
ABHD15	chr17	457	646	534	0
ABHD15-AS1	chr17	0	2	0	0
ABHD16A	chr6	0	0	3006	0
ABHD17A	chr19	856	636	2499	1
ABHD17AP1	chr1	0	0	5	0
ABHD17AP3	chr1	2	1	27	2
ABHD17AP4	chr22	0	0	1	0
ABHD17AP5	chr22	0	0	0	0
ABHD17AP6	chr17	0	0	56	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	274	288	1151	0
ABHD17C	chr15	245	260	420	0
ABHD18	chr4	243	297	709	5
ABHD2	chr15	2200	2567	4845	1
ABHD3	chr18	130	75	247	0
ABHD4	chr14	1600	2248	2706	2
ABHD5	chr3	207	262	949	1
ABHD6	chr3	237	104	509	0
ABHD8	chr19	526	564	795	0
ABI1	chr10	571	564	2093	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	3219	2840	9967	1
ABI3	chr17	1	0	0	0
ABI3BP	chr3	2480	2931	6165	3
ABITRAM	chr9	409	664	455	2
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	4484	4521	11749	4
ABL2	chr1	866	860	1291	1
ABLIM1	chr10	3762	4151	4152	7
ABLIM2	chr4	112	148	79	1
ABLIM3	chr5	1324	1808	4423	2
ABO	chr9	20	240	265	0
ABR	chr17	8	16	5191	0
ABRA	chr8	4	4	12	0
ABRACL	chr6	337	269	140	0
ABRAXAS1	chr4	374	349	1443	1
ABRAXAS2	chr10	375	465	1074	0
ABT1	chr6	307	286	451	2
ABT1P1	chr4	0	0	0	0
ABTB1	chr3	721	1707	1834	4
ABTB2	chr11	436	366	402	0
AC000032.2	chr1	0	0	0	0
AC000035.3	chr22	2	0	4	0
AC000036.4	chr22	0	0	1	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	0	0
AC000067.1	chr22	0	0	2	0
AC000068.10	chr22	1	14	10	0
AC000068.5	chr22	15	35	54	0
AC000068.9	chr22	45	29	34	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	0	1	0	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	1	0	0	0
AC000085.4	chr22	4	0	6	0
AC000089.3	chr22	0	0	9	0
AC000095.12	chr22	3	2	0	0
AC000095.9	chr22	22	68	19	0
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	55	88	19	0
AC000123.2	chr7	77	52	111	0
AC000123.3	chr7	3	2	29	0
AC000123.4	chr7	10	2	11	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	1	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	20	51	49	0
AC001226.7	chr13	3	0	0	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	0	3	1	0
AC002044.3	chr16	0	0	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	0	2	2	0
AC002056.5	chr22	2	0	0	1
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	0	0	7	0
AC002059.10	chr22	0	1	0	0
AC002059.11	chr22	0	0	0	0
AC002064.4	chr7	0	0	0	0
AC002064.5	chr7	0	4	2	0
AC002064.7	chr7	0	0	0	0
AC002066.1	chr7	3	1	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	0	0	0
AC002075.4	chr7	0	0	0	0
AC002116.7	chr19	2	0	4	0
AC002116.8	chr19	201	241	316	0
AC002117.1	chr17	75	79	184	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	1	1	0	0
AC002128.5	chr19	1	1	0	0
AC002306.1	chr19	0	0	2	0
AC002310.10	chr16	1	0	4	0
AC002310.11	chr16	204	315	146	1
AC002310.12	chr16	33	22	42	1
AC002310.14	chr16	7	17	167	0
AC002310.17	chr16	0	1	0	0
AC002310.7	chr16	35	9	211	0
AC002331.2	chr16	0	0	0	0
AC002368.4	chrX	0	0	4	0
AC002383.2	chr7	3	0	0	0
AC002386.1	chr7	0	0	0	0
AC002398.11	chr19	74	86	462	0
AC002398.12	chr19	107	180	964	0
AC002398.13	chr19	4	1	7	0
AC002398.9	chr19	122	121	1113	0
AC002401.1	chr17	0	0	11	0
AC002407.3	chrX	0	0	1	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	4	6	4	0
AC002456.2	chr7	53	10	85	0
AC002463.3	chr7	4	0	13	0
AC002467.7	chr7	29	24	41	0
AC002472.11	chr22	0	1	0	0
AC002472.16	chr22	5	4	1	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	28	20	28	0
AC002480.3	chr7	2	7	0	0
AC002480.4	chr7	0	0	3	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	0	1	0	0
AC002511.2	chr19	0	0	0	0
AC002511.3	chr19	0	0	0	0
AC002519.6	chr16	0	21	7	0
AC002519.8	chr16	2	24	5	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	0	0
AC002543.2	chr7	0	0	1	0
AC002550.5	chr16	239	206	185	0
AC002550.6	chr16	4	2	4	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	2	1	0
AC002985.3	chr19	484	596	642	0
AC003002.4	chr19	11	14	7	0
AC003002.6	chr19	111	132	36	0
AC003005.2	chr19	0	0	5	0
AC003005.4	chr19	64	45	174	0
AC003006.7	chr19	46	37	203	1
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	88	141	20	0
AC003080.4	chr7	0	0	0	0
AC003084.2	chr7	0	0	0	0
AC003088.1	chr7	0	3	1	0
AC003090.1	chr7	2	0	8	0
AC003092.1	chr7	1	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	2	0	10	0
AC003101.1	chr17	1	0	0	0
AC003104.1	chr17	0	0	6	0
AC003682.16	chr19	1	9	1	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	0	0	0	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	0	0	0	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	1	1	2	0
AC003986.6	chr7	56	28	25	0
AC003986.7	chr7	1	7	2	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	0	0	0
AC003989.4	chr7	2	3	1	0
AC003991.3	chr7	6	4	16	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	1	0	1	0
AC004014.3	chr7	0	0	1	0
AC004019.10	chr22	0	0	0	0
AC004019.13	chr22	2	11	2	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	0	0	0	0
AC004047.1	chr4	0	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	0	0	552	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	17	22	10	0
AC004067.6	chr4	1080	866	541	2
AC004069.1	chr4	0	0	0	0
AC004069.2	chr4	7	3	5	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	44	47	46	0
AC004076.7	chr19	0	0	40	0
AC004076.9	chr19	20	33	38	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	0	0
AC004156.3	chr19	4	1	3	0
AC004158.3	chr16	94	60	141	0
AC004160.4	chr7	0	3	1	0
AC004231.2	chr17	0	0	8	0
AC004237.1	chr5	15	12	9	0
AC004257.1	chr19	0	0	0	0
AC004381.7	chr16	0	0	1	0
AC004381.8	chr16	0	0	0	0
AC004381.9	chr16	0	2	0	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	1	0	6	0
AC004449.6	chr19	8	24	1	0
AC004461.4	chr22	0	0	0	0
AC004471.10	chr22	3	7	2	0
AC004471.9	chr22	5	4	1	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	72	62	103	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	17	22	26	0
AC004540.4	chr7	13	7	24	0
AC004540.5	chr7	54	39	15	0
AC004543.2	chr7	0	0	0	0
AC004623.2	chr19	206	336	17	0
AC004623.3	chr19	218	286	222	0
AC004637.1	chr19	0	0	0	0
AC004691.5	chr7	0	0	1	0
AC004692.4	chr7	0	0	2	0
