gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	226	255	384	0
A1BG-AS1	chr19	290	392	369	0
A1CF	chr10	3	0	3	0
A2M	chr12	12	2	19	0
A2M-AS1	chr12	37	8	73	0
A2ML1	chr12	2	0	1	0
A2ML1-AS1	chr12	8	12	14	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	4	0	9	0
A3GALT2	chr1	1	2	9	0
A4GALT	chr22	28	70	90	0
A4GNT	chr3	1	1	0	0
AA06	chr17	0	0	0	0
AAAS	chr12	1083	1278	3334	0
AACS	chr12	679	496	1337	0
AACSP1	chr5	26	4	6	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADACP1	chr3	0	0	0	0
AADAT	chr4	812	1146	1425	2
AAGAB	chr15	834	958	1696	1
AAK1	chr2	2966	3578	6549	5
AAMDC	chr11	26	62	132	0
AAMP	chr2	1172	1009	4651	2
AANAT	chr17	2	1	1	0
AARD	chr8	2	4	3	0
AARS1	chr16	3439	3917	4597	7
AARS1P1	chr4	0	0	0	0
AARS2	chr6	591	465	2125	2
AARSD1	chr17	718	727	2017	0
AARSD1P1	chrX	8	10	78	0
AASDH	chr4	135	167	878	0
AASDHPPT	chr11	1761	2315	5466	3
AASS	chr7	396	247	490	2
AATBC	chr21	2	109	21	1
AATF	chr17	0	0	1373	0
AATK	chr17	1613	1612	923	3
AB015752.3	chr8	2	2	8	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	2764	2228	2562	2
ABBA01000934.1	chr3	0	0	0	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	0	0	0	0
ABC10-44372100G24.1	chr22	1	0	0	0
ABC11-4932300O16.1	chr10	1	0	0	0
ABC12-46663800M24.1	chr8	383	280	134	1
ABC12-46663800M24.2	chr8	126	114	147	1
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	0	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	46	2	56	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	388	395	1174	0
ABCA10	chr17	6	19	30	0
ABCA11P	chr4	156	115	134	0
ABCA12	chr2	9	5	9	0
ABCA13	chr7	2	0	1	0
ABCA17P	chr16	8	6	4	0
ABCA2	chr9	4973	9021	13094	12
ABCA3	chr16	6335	5446	5223	18
ABCA4	chr1	0	0	0	0
ABCA5	chr17	468	366	1323	0
ABCA6	chr17	0	5	4	0
ABCA7	chr19	3452	2578	2454	7
ABCA8	chr17	0	0	0	0
ABCA9	chr17	13	39	38	0
ABCA9-AS1	chr17	0	0	5	0
ABCB1	chr7	9	17	52	0
ABCB10	chr1	185	104	922	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	0	0	3	0
ABCB4	chr7	68	10	117	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2	700	950	1439	4
ABCB7	chrX	170	169	1522	0
ABCB8	chr7	1997	1440	1393	4
ABCB9	chr12	1590	1541	1158	11
ABCC1	chr16	25	40	2591	1
ABCC10	chr6	1352	1592	2819	2
ABCC11	chr16	6	2	195	0
ABCC12	chr16	0	0	0	0
ABCC13	chr21	0	0	0	0
ABCC2	chr10	11	28	58	0
ABCC3	chr17	0	0	1	0
ABCC4	chr13	98	75	148	0
ABCC5	chr3	2826	2675	9106	0
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	9	2	63	0
ABCC6P1	chr16	0	1	7	0
ABCC6P2	chr16	0	0	2	0
ABCC8	chr11	589	1468	2053	0
ABCC9	chr12	13	23	53	0
ABCD1	chrX	839	723	998	0
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	0	0	0
ABCD1P5	chr2	0	0	0	0
ABCD2	chr12	2	8	9	0
ABCD3	chr1	490	576	1463	1
ABCD4	chr14	2351	1932	3448	13
ABCE1	chr4	410	527	2818	0
ABCF1	chr6	0	0	5072	0
ABCF2	chr7	610	706	2674	1
ABCF2-H2BE1	chr7	150	136	1913	0
ABCF2P1	chr3	1	1	1	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	696	859	2513	1
ABCG1	chr21	502	595	981	1
ABCG2	chr4	0	1	2	0
ABCG4	chr11	406	436	1303	1
ABCG5	chr2	6	38	2	0
ABCG8	chr2	5	5	4	0
ABHD1	chr2	12	21	25	1
ABHD10	chr3	343	287	1286	0
ABHD11	chr7	90	198	439	0
ABHD11-AS1	chr7	0	0	0	0
ABHD12B	chr14	3	3	3	0
ABHD13	chr13	151	153	878	0
ABHD14A	chr3	976	1124	157	3
ABHD14A-ACY1	chr3	766	891	621	1
ABHD14B	chr3	94	25	85	0
ABHD15	chr17	30	38	27	0
ABHD15-AS1	chr17	0	0	0	0
ABHD16A	chr6	0	0	4055	0
ABHD17A	chr19	816	699	3096	2
ABHD17AP1	chr1	0	0	29	0
ABHD17AP3	chr1	1	4	29	1
ABHD17AP4	chr22	0	0	3	0
ABHD17AP5	chr22	0	0	2	0
ABHD17AP6	chr17	0	1	73	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	512	511	1826	1
ABHD17C	chr15	906	1011	1427	5
ABHD18	chr4	274	361	723	5
ABHD2	chr15	1331	1328	2698	3
ABHD3	chr18	53	45	119	0
ABHD4	chr14	271	402	557	0
ABHD5	chr3	228	321	930	0
ABHD6	chr3	192	115	515	0
ABHD8	chr19	611	702	1020	1
ABI1	chr10	495	400	1644	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	3932	3940	12891	7
ABI3	chr17	4	3	2	0
ABI3BP	chr3	5	4	22	0
ABITRAM	chr9	261	348	226	2
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	3446	3752	9563	11
ABL2	chr1	1409	1463	2173	3
ABLIM1	chr10	2278	2741	2910	6
ABLIM2	chr4	767	366	344	1
ABLIM3	chr5	223	395	1067	0
ABO	chr9	54	357	437	0
ABR	chr17	0	4	7276	0
ABRA	chr8	0	3	0	0
ABRACL	chr6	473	410	220	1
ABRAXAS1	chr4	180	160	696	0
ABRAXAS2	chr10	262	356	886	0
ABT1	chr6	474	458	810	0
ABT1P1	chr4	2	0	0	0
ABTB1	chr3	343	1636	1632	4
ABTB2	chr11	352	1205	825	0
AC000032.2	chr1	0	0	1	0
AC000035.3	chr22	8	3	18	0
AC000036.4	chr22	3	0	1	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	2	0
AC000067.1	chr22	0	0	0	0
AC000068.10	chr22	17	32	30	0
AC000068.5	chr22	26	105	122	0
AC000068.9	chr22	12	26	37	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	1	0	5	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	0	0	0	0
AC000085.4	chr22	1	4	3	0
AC000089.3	chr22	3	3	12	0
AC000095.12	chr22	7	17	0	1
AC000095.9	chr22	83	269	71	1
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	50	68	20	0
AC000123.2	chr7	54	43	82	0
AC000123.3	chr7	2	5	31	0
AC000123.4	chr7	7	3	11	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	4	6	2	0
AC001226.7	chr13	2	0	3	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	1	8	7	0
AC002044.3	chr16	2	1	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	24	0	69	0
AC002056.5	chr22	0	0	0	0
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	1	0	11	0
AC002059.10	chr22	1	1	0	0
AC002059.11	chr22	0	0	5	0
AC002064.4	chr7	1	0	0	0
AC002064.5	chr7	5	2	2	0
AC002064.7	chr7	0	0	0	0
AC002066.1	chr7	1	0	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	0	0	0
AC002075.4	chr7	0	0	0	0
AC002116.7	chr19	2	2	5	0
AC002116.8	chr19	583	512	641	0
AC002117.1	chr17	51	44	80	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	0	0	0	0
AC002128.5	chr19	1	0	0	0
AC002306.1	chr19	0	0	1	0
AC002310.10	chr16	3	0	5	0
AC002310.11	chr16	253	308	162	0
AC002310.12	chr16	105	41	154	1
AC002310.14	chr16	25	10	455	0
AC002310.17	chr16	1	0	0	0
AC002310.7	chr16	117	3	487	0
AC002331.2	chr16	7	23	7	0
AC002368.4	chrX	0	0	0	0
AC002383.2	chr7	1	0	1	0
AC002386.1	chr7	0	0	0	0
AC002398.11	chr19	81	115	709	0
AC002398.12	chr19	0	8	21	0
AC002398.13	chr19	3	4	14	0
AC002398.9	chr19	234	241	1487	0
AC002401.1	chr17	1	2	8	0
AC002407.3	chrX	0	1	3	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	0	0	0	0
AC002456.2	chr7	3	3	5	0
AC002463.3	chr7	0	0	13	0
AC002467.7	chr7	18	39	48	0
AC002472.11	chr22	0	0	0	0
AC002472.16	chr22	19	21	1	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	94	85	57	0
AC002480.3	chr7	2	0	0	0
AC002480.4	chr7	0	0	0	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	1	0	0	0
AC002511.2	chr19	0	0	0	0
AC002511.3	chr19	0	0	0	0
AC002519.6	chr16	2	26	8	1
AC002519.8	chr16	1	12	1	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	1	0
AC002543.2	chr7	0	0	2	0
AC002550.5	chr16	202	133	223	0
AC002550.6	chr16	8	13	13	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	0	2	0
AC002985.3	chr19	532	524	773	2
AC003002.4	chr19	10	23	25	0
AC003002.6	chr19	67	97	49	0
AC003005.2	chr19	1	1	9	0
AC003005.4	chr19	51	40	100	0
AC003006.7	chr19	34	23	339	0
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	1	3	4	0
AC003080.4	chr7	0	0	0	0
AC003084.2	chr7	0	0	0	0
AC003088.1	chr7	0	1	0	0
AC003090.1	chr7	4	2	1	0
AC003092.1	chr7	0	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	0	0	3	0
AC003101.1	chr17	0	0	0	0
AC003104.1	chr17	14	9	22	0
AC003682.16	chr19	2	2	1	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	0	0	0	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	0	0	0	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	2	3	7	0
AC003986.6	chr7	22	19	11	0
AC003986.7	chr7	6	1	2	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	0	0	0
AC003989.4	chr7	0	0	1	0
AC003991.3	chr7	0	0	0	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	0	0	0	0
AC004014.3	chr7	0	0	0	0
AC004019.10	chr22	1	1	1	0
AC004019.13	chr22	0	3	1	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	0	0	0	0
AC004047.1	chr4	2	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	0	1	624	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	4	10	0	0
AC004067.6	chr4	62	127	123	0
AC004069.1	chr4	0	0	0	0
AC004069.2	chr4	7	1	2	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	112	199	138	0
AC004076.7	chr19	0	0	49	0
AC004076.9	chr19	32	50	26	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	0	0
AC004156.3	chr19	7	4	2	0
AC004158.3	chr16	14	8	17	0
AC004160.4	chr7	0	3	1	0
AC004231.2	chr17	0	0	2	0
AC004237.1	chr5	14	39	18	0
AC004257.1	chr19	0	0	0	0
AC004381.7	chr16	0	0	2	0
AC004381.8	chr16	0	0	2	0
AC004381.9	chr16	0	0	2	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	1	0	1	0
AC004449.6	chr19	12	18	3	0
AC004461.4	chr22	0	1	0	0
AC004471.10	chr22	31	20	9	0
AC004471.9	chr22	5	13	3	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	162	169	277	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	15	12	13	0
AC004540.4	chr7	142	68	117	0
AC004540.5	chr7	253	218	102	10
AC004543.2	chr7	0	0	0	0
AC004623.2	chr19	206	341	18	1
AC004623.3	chr19	427	433	493	0
AC004637.1	chr19	0	1	0	0
AC004691.5	chr7	0	0	2	0
AC004692.4	chr7	0	0	0	0
AC004692.5	chr7	0	0	2	0
