gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	278	256	356	0
A1BG-AS1	chr19	214	195	202	1
A1CF	chr10	21	25	44	0
A2M	chr12	1117	1381	2334	1
A2M-AS1	chr12	76	61	85	0
A2ML1	chr12	2	3	4	0
A2ML1-AS1	chr12	0	1	1	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	2	0	1	0
A3GALT2	chr1	0	2	4	0
A4GALT	chr22	184	103	224	1
A4GNT	chr3	10	0	1	0
AA06	chr17	0	0	0	0
AAAS	chr12	920	1092	3133	0
AACS	chr12	551	566	1199	0
AACSP1	chr5	15	0	1	0
AADAC	chr3	16	10	20	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	0	0
AADACL4	chr1	9	0	7	0
AADACP1	chr3	0	1	1	0
AADAT	chr4	269	389	529	0
AAGAB	chr15	287	294	670	0
AAK1	chr2	745	840	1402	1
AAMDC	chr11	161	129	739	0
AAMP	chr2	1571	1309	4671	3
AANAT	chr17	3	7	3	0
AARD	chr8	3	1	22	0
AARS1	chr16	2318	2760	3106	2
AARS1P1	chr4	0	0	0	0
AARS2	chr6	312	222	1201	2
AARSD1	chr17	430	481	1019	0
AARSD1P1	chrX	6	4	53	0
AASDH	chr4	103	76	473	0
AASDHPPT	chr11	431	563	1610	0
AASS	chr7	1368	712	1451	3
AATBC	chr21	18	77	11	0
AATF	chr17	0	0	1138	0
AATK	chr17	664	763	271	2
AB015752.3	chr8	2	0	3	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	1487	453	904	1
ABBA01000934.1	chr3	0	0	1	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	1	0	0	0
ABC10-44372100G24.1	chr22	2	0	0	0
ABC11-4932300O16.1	chr10	0	0	0	0
ABC12-46663800M24.1	chr8	204	160	102	0
ABC12-46663800M24.2	chr8	61	76	63	0
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	1	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	98	15	82	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	1514	1754	4693	3
ABCA10	chr17	6	20	32	0
ABCA11P	chr4	172	114	195	0
ABCA12	chr2	1	3	8	0
ABCA13	chr7	4	53	47	0
ABCA17P	chr16	8	1	3	0
ABCA2	chr9	3921	5130	7977	4
ABCA3	chr16	338	217	242	0
ABCA4	chr1	17	7	22	0
ABCA5	chr17	225	114	541	0
ABCA6	chr17	9	3	10	0
ABCA7	chr19	802	1084	821	0
ABCA8	chr17	844	1277	1678	1
ABCA9	chr17	73	90	150	1
ABCA9-AS1	chr17	0	0	7	0
ABCB1	chr7	21	27	69	0
ABCB10	chr1	58	61	504	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	2	9	24	0
ABCB4	chr7	14	30	87	0
ABCB5	chr7	2	0	0	0
ABCB6	chr2	517	807	1228	1
ABCB7	chrX	108	98	1320	0
ABCB8	chr7	841	847	833	3
ABCB9	chr12	1045	950	765	3
ABCC1	chr16	28	58	2122	0
ABCC10	chr6	488	501	884	0
ABCC11	chr16	6	3	85	0
ABCC12	chr16	0	0	0	0
ABCC13	chr21	0	4	2	0
ABCC2	chr10	71	92	257	0
ABCC3	chr17	64	73	85	0
ABCC4	chr13	85	95	196	0
ABCC5	chr3	1668	1765	5369	0
ABCC5-AS1	chr3	0	0	1	0
ABCC6	chr16	38	13	239	0
ABCC6P1	chr16	8	1	56	0
ABCC6P2	chr16	0	0	0	0
ABCC8	chr11	6	25	24	0
ABCC9	chr12	93	122	441	0
ABCD1	chrX	493	521	715	0
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	0	0	0
ABCD1P5	chr2	0	0	0	0
ABCD2	chr12	4	6	13	0
ABCD3	chr1	504	600	1693	0
ABCD4	chr14	1419	881	2025	0
ABCE1	chr4	248	267	1922	0
ABCF1	chr6	0	0	2942	0
ABCF2	chr7	384	433	1766	0
ABCF2-H2BE1	chr7	105	101	1296	0
ABCF2P1	chr3	0	0	0	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	607	732	2071	1
ABCG1	chr21	300	571	742	1
ABCG2	chr4	75	128	122	0
ABCG4	chr11	71	74	230	0
ABCG5	chr2	8	26	19	0
ABCG8	chr2	15	8	17	0
ABHD1	chr2	12	13	28	0
ABHD10	chr3	133	90	575	1
ABHD11	chr7	131	192	536	0
ABHD11-AS1	chr7	1	0	5	0
ABHD12B	chr14	8	15	16	0
ABHD13	chr13	108	106	761	0
ABHD14A	chr3	524	649	74	1
ABHD14A-ACY1	chr3	591	864	1087	1
ABHD14B	chr3	476	103	464	1
ABHD15	chr17	161	164	132	0
ABHD15-AS1	chr17	0	1	0	0
ABHD16A	chr6	0	0	1269	0
ABHD17A	chr19	736	623	2515	3
ABHD17AP1	chr1	0	0	8	0
ABHD17AP3	chr1	2	4	29	1
ABHD17AP4	chr22	0	0	1	0
ABHD17AP5	chr22	0	0	1	0
ABHD17AP6	chr17	0	0	58	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	203	186	573	0
ABHD17C	chr15	130	122	231	0
ABHD18	chr4	248	236	724	4
ABHD2	chr15	559	541	1092	1
ABHD3	chr18	110	79	276	0
ABHD4	chr14	910	1204	1556	0
ABHD5	chr3	90	112	487	0
ABHD6	chr3	70	23	118	0
ABHD8	chr19	349	404	541	1
ABI1	chr10	317	301	1138	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	1594	1680	5593	1
ABI3	chr17	38	51	74	0
ABI3BP	chr3	98	49	172	0
ABITRAM	chr9	313	365	285	1
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	2473	2821	6662	2
ABL2	chr1	663	586	937	0
ABLIM1	chr10	5344	5092	5332	11
ABLIM2	chr4	59	42	36	0
ABLIM3	chr5	230	294	906	0
ABO	chr9	310	822	975	0
ABR	chr17	1	1	2682	0
ABRA	chr8	56	44	122	0
ABRACL	chr6	235	170	61	0
ABRAXAS1	chr4	211	177	989	0
ABRAXAS2	chr10	184	265	516	1
ABT1	chr6	373	205	497	0
ABT1P1	chr4	0	0	0	0
ABTB1	chr3	441	1041	1294	1
ABTB2	chr11	468	420	421	1
AC000032.2	chr1	0	0	0	0
AC000035.3	chr22	0	0	1	0
AC000036.4	chr22	0	0	1	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	2	0
AC000067.1	chr22	0	0	0	0
AC000068.10	chr22	1	6	9	0
AC000068.5	chr22	9	29	33	0
AC000068.9	chr22	29	28	32	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	0	2	2	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	0	1	0	0
AC000085.4	chr22	1	1	7	0
AC000089.3	chr22	1	0	11	0
AC000095.12	chr22	1	0	0	0
AC000095.9	chr22	7	5	0	0
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	35	39	16	0
AC000123.2	chr7	20	27	40	0
AC000123.3	chr7	4	4	15	0
AC000123.4	chr7	3	2	2	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	7	10	9	0
AC001226.7	chr13	0	0	0	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	2	1	0	0
AC002044.3	chr16	0	0	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	2	0	7	0
AC002056.5	chr22	0	0	0	0
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	0	0	0	0
AC002059.10	chr22	1	1	2	0
AC002059.11	chr22	0	0	0	0
AC002064.4	chr7	0	0	0	0
AC002064.5	chr7	1	4	2	0
AC002064.7	chr7	0	0	0	0
AC002066.1	chr7	0	0	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	0	1	0
AC002075.4	chr7	0	0	0	0
AC002116.7	chr19	1	1	1	0
AC002116.8	chr19	202	215	251	0
AC002117.1	chr17	22	33	66	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	0	1	0	0
AC002128.5	chr19	6	10	2	0
AC002306.1	chr19	1	0	0	0
AC002310.10	chr16	1	0	3	0
AC002310.11	chr16	167	143	80	0
AC002310.12	chr16	24	9	34	0
AC002310.14	chr16	22	23	200	0
AC002310.17	chr16	0	1	0	0
AC002310.7	chr16	27	21	189	0
AC002331.2	chr16	0	0	0	0
AC002368.4	chrX	0	0	0	0
AC002383.2	chr7	0	0	0	0
AC002386.1	chr7	0	0	0	0
AC002398.11	chr19	42	30	216	0
AC002398.12	chr19	216	290	1971	0
AC002398.13	chr19	3	0	7	0
AC002398.9	chr19	68	49	774	0
AC002401.1	chr17	0	0	6	0
AC002407.3	chrX	0	0	0	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	1	6	2	0
AC002456.2	chr7	11	3	9	0
AC002463.3	chr7	1	0	6	0
AC002467.7	chr7	21	24	30	0
AC002472.11	chr22	2	0	1	0
AC002472.16	chr22	13	13	1	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	70	68	53	2
AC002480.3	chr7	9	9	4	0
AC002480.4	chr7	1	0	1	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	0	0	0	0
AC002511.2	chr19	2	0	1	0
AC002511.3	chr19	1	2	5	0
AC002519.6	chr16	0	11	5	0
AC002519.8	chr16	1	10	1	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	0	0
AC002543.2	chr7	0	0	4	0
AC002550.5	chr16	85	80	88	0
AC002550.6	chr16	8	2	3	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	1	2	0
AC002985.3	chr19	336	367	532	0
AC003002.4	chr19	7	14	25	0
AC003002.6	chr19	84	112	35	0
AC003005.2	chr19	0	0	3	0
AC003005.4	chr19	29	27	89	0
AC003006.7	chr19	23	20	167	0
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	11	19	4	0
AC003080.4	chr7	1	0	0	0
AC003084.2	chr7	0	0	0	0
AC003088.1	chr7	0	0	0	0
AC003090.1	chr7	2	3	5	0
AC003092.1	chr7	0	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	1	1	4	0
AC003101.1	chr17	0	0	0	0
AC003104.1	chr17	7	5	4	0
AC003682.16	chr19	0	1	3	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	0	0	0	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	0	0	0	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	1	3	1	0
AC003986.6	chr7	1	7	4	0
AC003986.7	chr7	0	1	0	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	0	0	0
AC003989.4	chr7	0	0	0	0
AC003991.3	chr7	2	0	0	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	0	0	1	0
AC004014.3	chr7	0	0	0	0
AC004019.10	chr22	0	3	0	0
AC004019.13	chr22	2	10	4	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	0	0	0	0
AC004047.1	chr4	0	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	0	0	495	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	15	19	4	0
AC004067.6	chr4	2905	2326	1275	2
AC004069.1	chr4	0	1	0	0
AC004069.2	chr4	26	3	11	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	21	38	31	0
AC004076.7	chr19	0	0	30	0
AC004076.9	chr19	22	19	26	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	0	0
AC004156.3	chr19	1	2	0	0
AC004158.3	chr16	31	10	27	0
AC004160.4	chr7	0	1	1	0
AC004231.2	chr17	0	0	9	0
AC004237.1	chr5	2	6	6	0
AC004257.1	chr19	0	0	0	0
AC004381.7	chr16	0	0	0	0
AC004381.8	chr16	2	0	0	0
AC004381.9	chr16	3	1	1	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	4	0	3	0
AC004449.6	chr19	2	18	1	0
AC004461.4	chr22	0	0	0	0
AC004471.10	chr22	4	3	0	0
AC004471.9	chr22	6	8	2	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	46	48	86	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	1	5	15	0
AC004540.4	chr7	3	5	7	0
AC004540.5	chr7	51	42	22	0
AC004543.2	chr7	0	0	0	0
AC004623.2	chr19	83	169	6	1
AC004623.3	chr19	170	217	235	0
AC004637.1	chr19	0	2	0	0
AC004691.5	chr7	1	0	1	0
AC004692.4	chr7	0	0	0	0
AC004692.5	chr7	0	0	0	0
AC004702.2	chr17	0	0	0	0
