gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	157	106	174	0
A1BG-AS1	chr19	396	216	299	0
A1CF	chr10	0	0	4	0
A2M	chr12	113	109	205	0
A2M-AS1	chr12	29	20	64	0
A2ML1	chr12	403	234	359	0
A2ML1-AS1	chr12	3	3	2	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	1	0	0	0
A3GALT2	chr1	0	1	2	0
A4GALT	chr22	315	102	329	0
A4GNT	chr3	3	0	0	0
AA06	chr17	0	0	0	0
AAAS	chr12	1037	1399	3885	1
AACS	chr12	781	784	1900	0
AACSP1	chr5	10	1	3	0
AADAC	chr3	12	2	8	0
AADACL2	chr3	10	19	178	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	1	0
AADACL4	chr1	0	0	0	0
AADACP1	chr3	0	0	0	0
AADAT	chr4	502	905	1118	0
AAGAB	chr15	923	720	1654	2
AAK1	chr2	831	997	1751	1
AAMDC	chr11	79	94	403	0
AAMP	chr2	1679	1408	5450	2
AANAT	chr17	1	6	1	0
AARD	chr8	3	3	15	0
AARS1	chr16	3879	4540	5194	7
AARS1P1	chr4	0	0	0	0
AARS2	chr6	772	445	2742	0
AARSD1	chr17	365	453	992	0
AARSD1P1	chrX	1	6	24	0
AASDH	chr4	237	201	1128	0
AASDHPPT	chr11	1039	1025	2880	2
AASS	chr7	2258	860	2199	0
AATBC	chr21	5	97	11	0
AATF	chr17	0	0	1905	0
AATK	chr17	1131	1610	543	0
AB015752.3	chr8	2	0	2	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	1170	710	915	1
ABBA01000934.1	chr3	0	0	2	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	0	1	1	0
ABC10-44372100G24.1	chr22	1	0	0	0
ABC11-4932300O16.1	chr10	0	0	0	0
ABC12-46663800M24.1	chr8	233	174	94	0
ABC12-46663800M24.2	chr8	37	20	60	0
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	2	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	12	2	21	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	1525	1649	4239	0
ABCA10	chr17	19	27	55	0
ABCA11P	chr4	249	160	230	1
ABCA12	chr2	578	250	1066	0
ABCA13	chr7	44	14	38	0
ABCA17P	chr16	29	7	5	0
ABCA2	chr9	3857	3945	6945	2
ABCA3	chr16	1176	734	937	0
ABCA4	chr1	615	527	831	1
ABCA5	chr17	527	353	1373	0
ABCA6	chr17	8	0	4	0
ABCA7	chr19	3187	2266	2101	4
ABCA8	chr17	33	189	177	0
ABCA9	chr17	7	11	4	0
ABCA9-AS1	chr17	1	1	10	0
ABCB1	chr7	47	56	142	0
ABCB10	chr1	166	133	1197	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	0	3	2	0
ABCB4	chr7	5	5	9	0
ABCB5	chr7	16	10	3	0
ABCB6	chr2	409	828	1204	0
ABCB7	chrX	127	197	1583	0
ABCB8	chr7	1415	1226	1185	3
ABCB9	chr12	1057	1130	1159	1
ABCC1	chr16	53	71	4272	1
ABCC10	chr6	1520	1766	2914	0
ABCC11	chr16	4	2	181	0
ABCC12	chr16	0	0	0	0
ABCC13	chr21	0	19	9	0
ABCC2	chr10	30	55	125	0
ABCC3	chr17	3	7	8	0
ABCC4	chr13	138	331	354	1
ABCC5	chr3	1580	1160	4561	0
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	21	4	94	0
ABCC6P1	chr16	1	2	9	0
ABCC6P2	chr16	0	0	1	0
ABCC8	chr11	3	18	29	0
ABCC9	chr12	3	2	19	0
ABCD1	chrX	347	316	533	3
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	0	0	0
ABCD1P5	chr2	0	0	0	0
ABCD2	chr12	19	21	54	0
ABCD3	chr1	1330	1144	3538	0
ABCD4	chr14	2111	1363	2650	3
ABCE1	chr4	461	575	3272	0
ABCF1	chr6	0	0	6745	0
ABCF2	chr7	597	742	3010	0
ABCF2-H2BE1	chr7	198	201	2402	0
ABCF2P1	chr3	0	0	1	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	1088	1208	3964	1
ABCG1	chr21	698	990	1617	0
ABCG2	chr4	28	35	63	0
ABCG4	chr11	16	15	54	0
ABCG5	chr2	2	13	0	0
ABCG8	chr2	2	0	1	0
ABHD1	chr2	3	8	3	1
ABHD10	chr3	284	227	1005	0
ABHD11	chr7	734	859	2528	0
ABHD11-AS1	chr7	2	3	11	0
ABHD12B	chr14	0	17	18	0
ABHD13	chr13	254	224	1473	0
ABHD14A	chr3	331	368	40	0
ABHD14A-ACY1	chr3	345	499	537	0
ABHD14B	chr3	416	115	329	0
ABHD15	chr17	306	390	322	0
ABHD15-AS1	chr17	0	3	1	0
ABHD16A	chr6	0	0	3075	0
ABHD17A	chr19	1313	982	3103	1
ABHD17AP1	chr1	0	0	8	0
ABHD17AP3	chr1	4	3	22	1
ABHD17AP4	chr22	0	0	0	0
ABHD17AP5	chr22	0	0	1	0
ABHD17AP6	chr17	0	0	71	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	329	332	1307	1
ABHD17C	chr15	323	367	559	0
ABHD18	chr4	254	282	811	1
ABHD2	chr15	3145	3802	6885	7
ABHD3	chr18	182	102	359	0
ABHD4	chr14	967	1294	1654	3
ABHD5	chr3	338	501	1761	1
ABHD6	chr3	143	108	450	0
ABHD8	chr19	360	400	535	1
ABI1	chr10	585	646	2095	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	1281	1331	4479	0
ABI3	chr17	10	7	7	0
ABI3BP	chr3	7	14	21	0
ABITRAM	chr9	541	821	555	1
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	2179	2314	5876	0
ABL2	chr1	487	534	680	2
ABLIM1	chr10	1894	2898	2388	4
ABLIM2	chr4	73	195	100	1
ABLIM3	chr5	108	128	420	0
ABO	chr9	79	470	574	0
ABR	chr17	20	11	6995	0
ABRA	chr8	0	3	0	0
ABRACL	chr6	584	365	238	1
ABRAXAS1	chr4	294	271	1241	2
ABRAXAS2	chr10	358	420	1000	0
ABT1	chr6	733	516	1016	1
ABT1P1	chr4	0	0	0	0
ABTB1	chr3	399	1475	1491	5
ABTB2	chr11	260	278	305	0
AC000032.2	chr1	0	0	0	0
AC000035.3	chr22	0	0	1	0
AC000036.4	chr22	0	0	0	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	0	0
AC000067.1	chr22	0	0	0	0
AC000068.10	chr22	9	8	15	0
AC000068.5	chr22	19	53	78	0
AC000068.9	chr22	22	20	29	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	0	1	0	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	0	1	0	0
AC000085.4	chr22	1	2	1	0
AC000089.3	chr22	0	0	6	0
AC000095.12	chr22	0	0	0	0
AC000095.9	chr22	5	9	5	0
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	66	67	21	0
AC000123.2	chr7	39	21	60	0
AC000123.3	chr7	3	1	12	0
AC000123.4	chr7	3	1	9	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	1	19	15	0
AC001226.7	chr13	2	0	1	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	1	0	0	0
AC002044.3	chr16	0	0	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	3	0	5	0
AC002056.5	chr22	0	0	0	0
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	0	0	7	0
AC002059.10	chr22	0	0	0	0
AC002059.11	chr22	0	0	0	0
AC002064.4	chr7	0	0	0	0
AC002064.5	chr7	0	2	1	0
AC002064.7	chr7	0	0	0	0
AC002066.1	chr7	2	1	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	0	0	0
AC002075.4	chr7	0	0	0	0
AC002116.7	chr19	1	11	12	0
AC002116.8	chr19	274	311	421	2
AC002117.1	chr17	86	93	188	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	0	0	0	0
AC002128.5	chr19	12	17	6	0
AC002306.1	chr19	0	1	0	0
AC002310.10	chr16	1	0	4	0
AC002310.11	chr16	252	287	139	0
AC002310.12	chr16	70	27	73	1
AC002310.14	chr16	18	21	245	0
AC002310.17	chr16	1	2	0	0
AC002310.7	chr16	41	30	399	0
AC002331.2	chr16	0	0	0	0
AC002368.4	chrX	0	0	0	0
AC002383.2	chr7	0	0	0	0
AC002386.1	chr7	0	0	0	0
AC002398.11	chr19	94	110	599	0
AC002398.12	chr19	59	63	437	0
AC002398.13	chr19	4	0	18	0
AC002398.9	chr19	193	141	1440	0
AC002401.1	chr17	0	1	3	0
AC002407.3	chrX	1	2	15	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	2	1	0	0
AC002456.2	chr7	2	2	7	0
AC002463.3	chr7	0	0	7	0
AC002467.7	chr7	32	53	63	0
AC002472.11	chr22	1	0	0	0
AC002472.16	chr22	8	5	2	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	38	24	40	0
AC002480.3	chr7	5	2	1	0
AC002480.4	chr7	0	0	1	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	0	1	0	0
AC002511.2	chr19	0	0	0	0
AC002511.3	chr19	1	1	1	0
AC002519.6	chr16	0	17	5	0
AC002519.8	chr16	2	4	2	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	0	0
AC002543.2	chr7	0	1	0	0
AC002550.5	chr16	222	193	190	0
AC002550.6	chr16	3	2	5	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	0	1	0
AC002985.3	chr19	383	367	628	0
AC003002.4	chr19	10	18	18	0
AC003002.6	chr19	91	115	45	0
AC003005.2	chr19	1	4	7	0
AC003005.4	chr19	46	34	122	0
AC003006.7	chr19	68	49	302	0
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	21	23	4	0
AC003080.4	chr7	0	0	0	0
AC003084.2	chr7	0	0	0	0
AC003088.1	chr7	7	3	1	0
AC003090.1	chr7	1	8	8	0
AC003092.1	chr7	0	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	0	0	1	0
AC003101.1	chr17	0	0	0	0
AC003104.1	chr17	1	0	2	0
AC003682.16	chr19	0	4	3	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	5	2	5	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	0	0	0	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	0	0	2	0
AC003986.6	chr7	54	27	20	0
AC003986.7	chr7	0	4	0	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	0	0	0
AC003989.4	chr7	0	0	0	0
AC003991.3	chr7	1	20	17	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	0	0	0	0
AC004014.3	chr7	0	0	0	0
AC004019.10	chr22	0	0	0	0
AC004019.13	chr22	2	6	1	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	0	0	0	0
AC004047.1	chr4	0	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	0	0	506	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	12	22	11	0
AC004067.6	chr4	870	923	534	1
AC004069.1	chr4	0	0	0	0
AC004069.2	chr4	13	4	11	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	23	32	29	0
AC004076.7	chr19	0	0	34	0
AC004076.9	chr19	41	50	70	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	0	0
AC004156.3	chr19	2	1	1	0
AC004158.3	chr16	32	20	25	0
AC004160.4	chr7	0	4	3	0
AC004231.2	chr17	0	0	467	0
AC004237.1	chr5	9	18	10	0
AC004257.1	chr19	0	0	0	0
AC004381.7	chr16	0	0	1	0
AC004381.8	chr16	3	3	5	0
AC004381.9	chr16	6	4	3	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	3	0	1	0
AC004449.6	chr19	3	10	3	0
AC004461.4	chr22	0	1	0	0
AC004471.10	chr22	2	5	4	0
AC004471.9	chr22	4	7	2	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	130	109	192	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	5	17	12	0
AC004540.4	chr7	54	21	59	0
AC004540.5	chr7	595	308	207	2
AC004543.2	chr7	0	0	1	0
AC004623.2	chr19	79	182	5	0
AC004623.3	chr19	140	179	143	0
AC004637.1	chr19	0	0	0	0
AC004691.5	chr7	0	0	0	0
AC004692.4	chr7	0	0	0	0
AC004692.5	chr7	0	0	0	0
