gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	493	655	557	1
A1BG-AS1	chr19	324	392	212	0
A1CF	chr10	71	79	169	0
A2M	chr12	2903	2613	4986	1
A2M-AS1	chr12	119	70	105	0
A2ML1	chr12	3	7	11	0
A2ML1-AS1	chr12	2	2	2	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	0	1	2	0
A3GALT2	chr1	1	8	4	0
A4GALT	chr22	65	53	81	0
A4GNT	chr3	11	0	2	0
AA06	chr17	0	0	0	0
AAAS	chr12	1029	1166	3620	0
AACS	chr12	624	678	1595	0
AACSP1	chr5	17	4	1	0
AADAC	chr3	33	30	47	0
AADACL2	chr3	1	1	2	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	2	2	0
AADACP1	chr3	0	0	1	0
AADAT	chr4	341	472	640	1
AAGAB	chr15	421	445	932	1
AAK1	chr2	746	873	1331	0
AAMDC	chr11	206	138	789	1
AAMP	chr2	2007	1593	5643	4
AANAT	chr17	6	12	0	0
AARD	chr8	6	8	11	0
AARS1	chr16	3153	4169	4548	6
AARS1P1	chr4	0	0	0	0
AARS2	chr6	422	300	1495	0
AARSD1	chr17	527	520	1259	0
AARSD1P1	chrX	5	3	73	0
AASDH	chr4	88	79	430	0
AASDHPPT	chr11	602	823	2073	1
AASS	chr7	1384	595	1264	0
AATBC	chr21	19	98	10	0
AATF	chr17	0	0	1699	0
AATK	chr17	616	640	266	0
AB015752.3	chr8	1	0	0	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	1087	560	824	1
ABBA01000934.1	chr3	0	0	0	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	0	0	0	0
ABC10-44372100G24.1	chr22	3	0	0	0
ABC11-4932300O16.1	chr10	0	0	0	0
ABC12-46663800M24.1	chr8	171	127	70	0
ABC12-46663800M24.2	chr8	69	65	67	0
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	0	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	154	14	115	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	1793	2026	5391	0
ABCA10	chr17	42	96	162	0
ABCA11P	chr4	237	126	191	0
ABCA12	chr2	3	7	9	0
ABCA13	chr7	17	6	5	0
ABCA17P	chr16	11	4	0	0
ABCA2	chr9	5640	6895	10682	6
ABCA3	chr16	452	235	344	0
ABCA4	chr1	11	12	17	0
ABCA5	chr17	303	153	712	0
ABCA6	chr17	12	16	28	0
ABCA7	chr19	885	1102	817	0
ABCA8	chr17	2408	3151	4429	2
ABCA9	chr17	238	258	413	0
ABCA9-AS1	chr17	0	1	19	0
ABCB1	chr7	46	68	118	0
ABCB10	chr1	94	64	623	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	7	36	38	0
ABCB4	chr7	12	19	47	0
ABCB5	chr7	3	3	1	0
ABCB6	chr2	600	1034	1522	0
ABCB7	chrX	130	124	1563	0
ABCB8	chr7	1064	1103	978	0
ABCB9	chr12	1234	1087	877	2
ABCC1	chr16	34	62	2582	0
ABCC10	chr6	706	797	1343	0
ABCC11	chr16	1	1	96	0
ABCC12	chr16	1	2	1	0
ABCC13	chr21	0	3	0	0
ABCC2	chr10	140	204	506	0
ABCC3	chr17	135	131	159	0
ABCC4	chr13	110	98	198	0
ABCC5	chr3	1354	1515	4720	1
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	38	25	314	0
ABCC6P1	chr16	32	2	106	0
ABCC6P2	chr16	0	0	1	0
ABCC8	chr11	2	3	4	0
ABCC9	chr12	144	80	472	0
ABCD1	chrX	462	475	805	1
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	0	0	0
ABCD1P5	chr2	0	0	0	0
ABCD2	chr12	7	15	16	0
ABCD3	chr1	587	692	1746	0
ABCD4	chr14	1659	991	2263	5
ABCE1	chr4	404	440	2476	0
ABCF1	chr6	0	0	5029	0
ABCF2	chr7	524	583	2232	0
ABCF2-H2BE1	chr7	154	135	1706	0
ABCF2P1	chr3	0	1	0	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	699	830	2365	2
ABCG1	chr21	316	597	762	0
ABCG2	chr4	114	174	235	0
ABCG4	chr11	109	64	289	0
ABCG5	chr2	12	21	14	0
ABCG8	chr2	22	11	26	0
ABHD1	chr2	8	16	28	0
ABHD10	chr3	163	150	649	0
ABHD11	chr7	146	175	500	0
ABHD11-AS1	chr7	1	0	7	0
ABHD12B	chr14	6	5	17	0
ABHD13	chr13	160	162	1068	0
ABHD14A	chr3	525	742	75	2
ABHD14A-ACY1	chr3	766	1201	1558	2
ABHD14B	chr3	598	116	492	0
ABHD15	chr17	181	204	176	2
ABHD15-AS1	chr17	0	1	0	0
ABHD16A	chr6	0	0	2297	0
ABHD17A	chr19	1088	792	3429	2
ABHD17AP1	chr1	0	0	6	0
ABHD17AP3	chr1	6	0	38	1
ABHD17AP4	chr22	0	0	0	0
ABHD17AP5	chr22	0	0	1	0
ABHD17AP6	chr17	0	0	89	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	197	170	771	0
ABHD17C	chr15	167	138	285	0
ABHD18	chr4	178	225	658	2
ABHD2	chr15	736	701	1398	1
ABHD3	chr18	134	75	292	0
ABHD4	chr14	1050	1491	1747	1
ABHD5	chr3	139	152	679	0
ABHD6	chr3	120	56	258	0
ABHD8	chr19	393	435	593	0
ABI1	chr10	444	427	1566	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	2148	2324	6998	0
ABI3	chr17	63	98	163	0
ABI3BP	chr3	342	82	547	0
ABITRAM	chr9	385	533	391	3
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	3113	3432	8357	3
ABL2	chr1	824	708	1080	2
ABLIM1	chr10	1885	2977	2463	7
ABLIM2	chr4	65	13	27	0
ABLIM3	chr5	104	105	323	0
ABO	chr9	482	1178	1486	0
ABR	chr17	3	3	2933	0
ABRA	chr8	2	4	12	0
ABRACL	chr6	630	456	193	0
ABRAXAS1	chr4	261	226	1183	0
ABRAXAS2	chr10	232	308	686	1
ABT1	chr6	653	416	834	0
ABT1P1	chr4	0	0	0	0
ABTB1	chr3	571	1695	2006	4
ABTB2	chr11	221	172	184	0
AC000032.2	chr1	0	0	2	0
AC000035.3	chr22	0	0	1	0
AC000036.4	chr22	2	1	2	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	5	0
AC000067.1	chr22	0	0	1	0
AC000068.10	chr22	3	6	9	0
AC000068.5	chr22	15	21	47	0
AC000068.9	chr22	28	23	37	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	0	2	0	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	1	0	0	0
AC000085.4	chr22	0	1	4	0
AC000089.3	chr22	0	1	8	0
AC000095.12	chr22	0	0	0	0
AC000095.9	chr22	11	6	0	0
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	22	35	17	0
AC000123.2	chr7	40	37	61	0
AC000123.3	chr7	3	2	19	0
AC000123.4	chr7	5	2	4	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	16	19	14	0
AC001226.7	chr13	2	0	0	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	0	3	1	0
AC002044.3	chr16	0	0	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	0	0	5	0
AC002056.5	chr22	0	0	0	0
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	0	0	0	0
AC002059.10	chr22	2	2	0	0
AC002059.11	chr22	0	1	1	0
AC002064.4	chr7	0	0	0	0
AC002064.5	chr7	1	2	1	0
AC002064.7	chr7	0	0	0	0
AC002066.1	chr7	1	1	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	1	0	0
AC002075.4	chr7	1	0	0	0
AC002116.7	chr19	2	5	7	0
AC002116.8	chr19	249	217	268	0
AC002117.1	chr17	24	34	59	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	0	1	1	0
AC002128.5	chr19	7	16	4	0
AC002306.1	chr19	0	0	0	0
AC002310.10	chr16	1	0	2	0
AC002310.11	chr16	163	164	78	1
AC002310.12	chr16	20	12	24	0
AC002310.14	chr16	14	17	171	1
AC002310.17	chr16	0	0	1	0
AC002310.7	chr16	57	21	225	0
AC002331.2	chr16	0	0	0	0
AC002368.4	chrX	1	0	0	0
AC002383.2	chr7	0	0	0	0
AC002386.1	chr7	0	0	0	0
AC002398.11	chr19	34	51	260	0
AC002398.12	chr19	398	423	2806	0
AC002398.13	chr19	1	1	15	0
AC002398.9	chr19	76	79	926	0
AC002401.1	chr17	0	0	3	0
AC002407.3	chrX	0	0	0	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	0	6	2	0
AC002456.2	chr7	5	1	21	0
AC002463.3	chr7	0	1	6	0
AC002467.7	chr7	16	44	59	0
AC002472.11	chr22	2	2	3	0
AC002472.16	chr22	24	19	2	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	125	100	56	1
AC002480.3	chr7	21	5	0	0
AC002480.4	chr7	1	0	5	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	0	0	0	0
AC002511.2	chr19	2	0	1	0
AC002511.3	chr19	3	1	4	0
AC002519.6	chr16	0	12	5	0
AC002519.8	chr16	1	11	2	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	0	0
AC002543.2	chr7	0	0	1	0
AC002550.5	chr16	124	111	110	0
AC002550.6	chr16	1	2	3	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	1	3	0
AC002985.3	chr19	472	481	769	0
AC003002.4	chr19	9	22	26	0
AC003002.6	chr19	118	118	55	0
AC003005.2	chr19	1	2	6	0
AC003005.4	chr19	37	21	84	0
AC003006.7	chr19	38	23	172	0
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	22	32	12	0
AC003080.4	chr7	0	0	0	0
AC003084.2	chr7	1	0	0	0
AC003088.1	chr7	1	2	0	0
AC003090.1	chr7	1	1	1	0
AC003092.1	chr7	0	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	0	0	5	0
AC003101.1	chr17	0	0	1	0
AC003104.1	chr17	10	4	8	0
AC003682.16	chr19	2	3	1	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	0	0	0	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	0	0	0	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	0	1	0	0
AC003986.6	chr7	2	3	2	0
AC003986.7	chr7	1	0	0	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	0	0	0
AC003989.4	chr7	0	0	0	0
AC003991.3	chr7	1	1	0	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	0	1	1	0
AC004014.3	chr7	0	0	0	0
AC004019.10	chr22	2	1	0	0
AC004019.13	chr22	9	17	7	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	1	0	0	0
AC004047.1	chr4	0	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	0	0	817	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	16	20	5	0
AC004067.6	chr4	6114	4551	2312	1
AC004069.1	chr4	0	0	0	0
AC004069.2	chr4	9	3	7	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	41	31	30	0
AC004076.7	chr19	0	0	36	0
AC004076.9	chr19	23	17	32	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	0	0
AC004156.3	chr19	0	2	1	0
AC004158.3	chr16	23	10	20	0
AC004160.4	chr7	0	0	0	0
AC004231.2	chr17	0	0	12	0
AC004237.1	chr5	5	7	7	0
AC004257.1	chr19	0	0	1	0
AC004381.7	chr16	0	0	1	0
AC004381.8	chr16	2	1	2	0
AC004381.9	chr16	8	2	3	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	3	0	2	0
AC004449.6	chr19	1	13	1	0
AC004461.4	chr22	0	0	0	0
AC004471.10	chr22	2	3	2	0
AC004471.9	chr22	7	7	0	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	58	63	102	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	11	12	24	0
AC004540.4	chr7	4	8	8	0
AC004540.5	chr7	80	27	12	1
AC004543.2	chr7	0	0	0	0
AC004623.2	chr19	122	248	7	0
AC004623.3	chr19	190	254	295	1
AC004637.1	chr19	1	1	0	0
AC004691.5	chr7	1	1	5	0
AC004692.4	chr7	0	0	0	0
AC004692.5	chr7	0	0	0	0
AC004702.2	chr17	0	0	0	0
