gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
5S_rRNA	chrX	0	0	0	0
5_8S_rRNA	chr22	0	0	0	0
7SK	chr17	0	0	0	0
A1BG	chr19	95	114	120	0
A1BG-AS1	chr19	155	136	150	0
A1CF	chr10	105	161	284	0
A2M	chr12	292	862	1014	0
A2M-AS1	chr12	16	41	31	0
A2ML1	chr12	15	20	21	0
A2ML1-AS1	chr12	1	2	2	0
A2ML1-AS2	chr12	1	1	0	0
A2MP1	chr12	0	1	0	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	103	47	103	0
A4GNT	chr3	8	0	4	0
AA06	chr17	0	0	0	0
AAAS	chr12	564	828	1986	1
AACS	chr12	715	785	1837	0
AACSP1	chr5	5	0	1	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	2	0
AADACL4	chr1	1	0	0	0
AADACP1	chr3	0	0	0	0
AADAT	chr4	509	902	1180	1
AAGAB	chr15	834	719	1615	0
AAK1	chr2	485	695	977	0
AAMDC	chr11	67	71	246	0
AAMP	chr2	1088	1000	4359	2
AANAT	chr17	2	1	0	0
AARD	chr8	1	1	1	0
AARS1	chr16	1561	2279	2308	0
AARS1P1	chr4	0	0	0	0
AARS2	chr6	437	258	1488	0
AARSD1	chr17	381	406	973	0
AARSD1P1	chrX	4	2	30	0
AASDH	chr4	132	143	858	0
AASDHPPT	chr11	478	600	1693	0
AASS	chr7	2079	1326	2198	0
AATBC	chr21	0	25	1	0
AATF	chr17	0	0	1758	0
AATK	chr17	284	275	140	0
AB015752.3	chr8	2	2	2	0
AB019438.66	chr14	0	0	0	0
AB019440.50	chr14	0	0	0	0
AB019441.29	chr14	0	0	0	0
ABAT	chr16	256	360	290	0
ABBA01000934.1	chr3	0	0	5	0
ABBA01045074.1	chr9	0	0	0	0
ABBA01045074.2	chr9	0	0	0	0
ABC10-43608400O15.1	chr6	0	0	0	0
ABC10-44372100G24.1	chr22	1	0	0	0
ABC11-4932300O16.1	chr10	0	0	0	0
ABC12-46663800M24.1	chr8	165	71	51	0
ABC12-46663800M24.2	chr8	52	38	50	0
ABC12-47964100C23.1	chr9	0	0	0	0
ABC13-47656900H15.1	chr17	0	0	0	0
ABC13-48845200J1.1	chr9	0	0	0	0
ABC14-1188822O7.1	chr1	0	0	1	0
ABC14-1188822O7.2	chr1	0	0	0	0
ABC7-42391500H16.4	chr4	0	0	0	0
ABC7-42404400C24.1	chr10	3	1	16	0
ABC7-42418200C9.1	chr13	0	0	0	0
ABC7-481722F1.1	chr7	0	0	0	0
ABC7-481722F1.2	chr7	0	0	0	0
ABC8-43014700C16.1	chr13	0	0	0	0
ABCA1	chr9	1488	990	3455	2
ABCA10	chr17	0	1	4	0
ABCA11P	chr4	150	106	130	0
ABCA12	chr2	13	21	28	0
ABCA13	chr7	12	20	19	0
ABCA17P	chr16	1	1	0	0
ABCA2	chr9	1742	3278	3912	2
ABCA3	chr16	593	261	391	0
ABCA4	chr1	12	8	13	0
ABCA5	chr17	116	66	298	0
ABCA6	chr17	3	9	8	0
ABCA7	chr19	3509	3067	2642	0
ABCA8	chr17	1	6	5	0
ABCA9	chr17	1	2	4	0
ABCA9-AS1	chr17	1	1	7	0
ABCB1	chr7	0	1	1	0
ABCB10	chr1	131	106	935	0
ABCB10P1	chr15	0	0	0	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	0	0
ABCB11	chr2	0	0	1	0
ABCB4	chr7	14	26	46	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2	679	1269	1854	0
ABCB7	chrX	123	153	1456	0
ABCB8	chr7	685	691	657	1
ABCB9	chr12	946	953	723	3
ABCC1	chr16	52	45	2272	0
ABCC10	chr6	926	864	1499	2
ABCC11	chr16	2	0	82	0
ABCC12	chr16	9	18	12	0
ABCC13	chr21	0	9	5	0
ABCC2	chr10	26	19	57	0
ABCC3	chr17	3	15	7	0
ABCC4	chr13	499	641	961	0
ABCC5	chr3	1268	1842	4803	1
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	55	28	392	0
ABCC6P1	chr16	28	0	88	0
ABCC6P2	chr16	0	0	0	0
ABCC8	chr11	0	2	3	0
ABCC9	chr12	0	3	4	0
ABCD1	chrX	243	243	347	0
ABCD1P2	chr10	0	0	0	0
ABCD1P3	chr16	0	0	0	0
ABCD1P4	chr22	0	0	0	0
ABCD1P5	chr2	0	0	0	0
ABCD2	chr12	3	1	6	0
ABCD3	chr1	816	661	2115	0
ABCD4	chr14	1712	1308	2770	1
ABCE1	chr4	312	413	2293	0
ABCF1	chr6	0	0	3569	0
ABCF2	chr7	464	584	2120	0
ABCF2-H2BE1	chr7	169	132	1609	0
ABCF2P1	chr3	0	0	0	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	622	678	1938	1
ABCG1	chr21	47	73	92	1
ABCG2	chr4	49	71	89	0
ABCG4	chr11	28	12	55	0
ABCG5	chr2	4	10	5	0
ABCG8	chr2	2	2	5	0
ABHD1	chr2	4	3	9	0
ABHD10	chr3	192	134	659	0
ABHD11	chr7	391	569	1603	0
ABHD11-AS1	chr7	0	0	4	0
ABHD12B	chr14	6	8	13	0
ABHD13	chr13	158	186	1156	0
ABHD14A	chr3	179	177	24	1
ABHD14A-ACY1	chr3	271	391	608	0
ABHD14B	chr3	135	48	102	1
ABHD15	chr17	306	527	386	1
ABHD15-AS1	chr17	0	0	0	0
ABHD16A	chr6	0	0	2320	0
ABHD17A	chr19	546	552	1805	3
ABHD17AP1	chr1	0	0	7	0
ABHD17AP3	chr1	1	3	22	1
ABHD17AP4	chr22	0	0	0	0
ABHD17AP5	chr22	0	0	0	0
ABHD17AP6	chr17	0	0	39	0
ABHD17AP7	chr16	0	0	0	0
ABHD17AP8	chr16	0	0	0	0
ABHD17AP9	chr16	0	0	0	0
ABHD17B	chr9	261	246	900	0
ABHD17C	chr15	203	190	335	1
ABHD18	chr4	249	295	717	3
ABHD2	chr15	565	648	1355	2
ABHD3	chr18	245	226	629	0
ABHD4	chr14	633	1048	1132	0
ABHD5	chr3	111	122	535	0
ABHD6	chr3	83	37	207	0
ABHD8	chr19	321	403	469	0
ABI1	chr10	322	280	1243	0
ABI1P1	chr14	0	0	0	0
ABI2	chr2	1226	1328	4835	1
ABI3	chr17	3	2	1	0
ABI3BP	chr3	2	0	8	0
ABITRAM	chr9	228	252	159	0
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	2799	2721	6690	1
ABL2	chr1	575	649	819	0
ABLIM1	chr10	804	1141	986	1
ABLIM2	chr4	16	10	5	0
ABLIM3	chr5	9	22	46	0
ABO	chr9	204	1601	1636	1
ABR	chr17	7	37	2230	0
ABRA	chr8	0	2	0	0
ABRACL	chr6	289	255	91	0
ABRAXAS1	chr4	250	207	1012	1
ABRAXAS2	chr10	273	341	798	0
ABT1	chr6	470	276	527	1
ABT1P1	chr4	0	2	0	0
ABTB1	chr3	217	315	401	2
ABTB2	chr11	146	164	137	0
AC000032.2	chr1	0	0	0	0
AC000035.3	chr22	1	0	0	0
AC000036.4	chr22	0	0	0	0
AC000041.8	chr22	0	0	0	0
AC000050.1	chr22	0	0	0	0
AC000067.1	chr22	0	0	0	0
AC000068.10	chr22	6	4	23	0
AC000068.5	chr22	14	49	48	0
AC000068.9	chr22	25	21	37	0
AC000077.2	chr22	0	0	0	0
AC000078.5	chr22	0	2	0	0
AC000081.2	chr22	0	0	0	0
AC000082.4	chr22	0	0	0	0
AC000085.4	chr22	0	0	0	0
AC000089.3	chr22	0	1	1	0
AC000095.12	chr22	0	0	0	0
AC000095.9	chr22	24	16	1	0
AC000111.4	chr7	0	0	0	0
AC000111.5	chr7	0	0	0	0
AC000111.6	chr7	0	0	0	0
AC000120.7	chr7	13	16	15	0
AC000123.2	chr7	17	20	29	0
AC000123.3	chr7	1	1	25	0
AC000123.4	chr7	4	4	6	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000370.2	chr7	0	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.4	chr13	0	1	2	0
AC001226.7	chr13	0	0	0	0
AC001226.8	chr13	0	0	0	0
AC002044.1	chr16	0	3	1	0
AC002044.3	chr16	0	0	0	0
AC002044.4	chr16	0	0	0	0
AC002056.3	chr22	0	0	5	0
AC002056.5	chr22	0	0	0	0
AC002057.1	chr7	0	0	0	0
AC002057.2	chr7	0	0	0	0
AC002059.10	chr22	2	3	0	0
AC002059.11	chr22	0	0	0	0
AC002064.4	chr7	0	0	0	0
AC002064.5	chr7	0	1	1	0
AC002064.7	chr7	1	0	0	0
AC002066.1	chr7	0	0	0	0
AC002069.6	chr7	0	0	0	0
AC002075.3	chr7	0	0	0	0
AC002075.4	chr7	0	0	0	0
AC002116.7	chr19	4	5	8	0
AC002116.8	chr19	294	251	320	0
AC002117.1	chr17	23	26	73	0
AC002127.2	chr7	0	0	0	0
AC002127.4	chr7	0	0	0	0
AC002128.5	chr19	6	13	5	0
AC002306.1	chr19	0	0	0	0
AC002310.10	chr16	5	0	2	0
AC002310.11	chr16	135	156	78	0
AC002310.12	chr16	38	16	33	1
AC002310.14	chr16	18	23	466	0
AC002310.17	chr16	4	4	0	0
AC002310.7	chr16	49	39	277	0
AC002331.2	chr16	0	0	0	0
AC002368.4	chrX	1	0	0	0
AC002383.2	chr7	0	0	0	0
AC002386.1	chr7	0	1	0	0
AC002398.11	chr19	39	68	246	0
AC002398.12	chr19	0	9	11	0
AC002398.13	chr19	3	0	8	0
AC002398.9	chr19	73	80	823	0
AC002401.1	chr17	0	1	4	0
AC002407.3	chrX	0	6	10	0
AC002429.4	chr7	0	0	0	0
AC002451.3	chr7	0	0	0	0
AC002456.2	chr7	8	2	7	0
AC002463.3	chr7	0	0	3	0
AC002467.7	chr7	15	22	37	0
AC002472.11	chr22	0	0	0	0
AC002472.16	chr22	0	1	0	0
AC002472.17	chr22	0	0	0	0
AC002472.8	chr22	8	4	10	0
AC002480.3	chr7	110	34	27	0
AC002480.4	chr7	3	2	12	0
AC002486.2	chr7	0	0	0	0
AC002486.3	chr7	0	1	0	0
AC002511.2	chr19	0	0	0	0
AC002511.3	chr19	0	0	0	0
AC002519.6	chr16	0	23	4	0
AC002519.8	chr16	0	8	3	0
AC002523.1	chrX	0	0	0	0
AC002539.1	chr17	0	0	0	0
AC002542.2	chr7	0	0	0	0
AC002543.2	chr7	0	0	1	0
AC002550.5	chr16	319	320	386	1
AC002550.6	chr16	6	5	4	0
AC002551.1	chr16	0	0	0	0
AC002984.2	chr19	0	1	3	0
AC002985.3	chr19	505	568	523	0
AC003002.4	chr19	12	14	11	0
AC003002.6	chr19	81	69	27	0
AC003005.2	chr19	2	7	8	0
AC003005.4	chr19	39	25	64	0
AC003006.7	chr19	42	23	198	0
AC003009.1	chr16	0	0	0	0
AC003075.4	chr7	7	8	1	0
AC003080.4	chr7	0	0	0	0
AC003084.2	chr7	0	0	0	0
AC003088.1	chr7	11	5	2	0
AC003090.1	chr7	0	4	2	0
AC003092.1	chr7	0	0	0	0
AC003092.2	chr7	0	0	0	0
AC003099.2	chr4	0	0	1	0
AC003101.1	chr17	0	0	0	0
AC003104.1	chr17	3	1	5	0
AC003682.16	chr19	1	3	3	0
AC003958.2	chr17	0	0	0	0
AC003958.6	chr17	0	0	0	0
AC003973.3	chr19	0	0	0	0
AC003973.4	chr19	0	0	0	0
AC003984.1	chr7	1	0	2	0
AC003985.1	chr7	0	0	0	0
AC003986.5	chr7	0	1	1	0
AC003986.6	chr7	0	5	1	0
AC003986.7	chr7	0	0	0	0
AC003988.1	chr7	0	0	0	0
AC003989.3	chr7	0	1	0	0
AC003989.4	chr7	0	0	0	0
AC003991.3	chr7	0	2	0	0
AC004004.2	chr19	0	0	0	0
AC004006.2	chr7	0	0	0	0
AC004009.1	chr7	0	0	0	0
AC004009.2	chr7	0	0	0	0
AC004009.3	chr7	0	0	0	0
AC004012.1	chr7	0	0	0	0
AC004014.3	chr7	0	0	0	0
AC004019.10	chr22	0	1	1	0
AC004019.13	chr22	0	11	5	0
AC004022.7	chr7	0	0	0	0
AC004022.8	chr7	0	0	0	0
AC004047.1	chr4	0	0	0	0
AC004054.1	chr4	0	0	0	0
AC004057.1	chr4	1	0	459	0
AC004062.2	chr4	0	0	0	0
AC004063.1	chr4	0	0	0	0
AC004066.3	chr4	0	0	0	0
AC004067.5	chr4	16	19	9	0
AC004067.6	chr4	184	106	201	0
AC004069.1	chr4	0	0	0	0
AC004069.2	chr4	3	2	4	0
AC004070.1	chrX	0	0	0	0
AC004076.5	chr19	51	57	64	0
AC004076.7	chr19	0	0	46	0
AC004076.9	chr19	19	9	20	0
AC004112.4	chr7	0	0	0	0
AC004129.7	chr7	0	0	0	0
AC004129.9	chr7	0	0	1	0
AC004156.3	chr19	4	3	1	0
AC004158.3	chr16	41	22	54	0
AC004160.4	chr7	0	0	0	0
AC004231.2	chr17	0	0	3	0
AC004237.1	chr5	6	12	9	0
AC004257.1	chr19	0	0	1	0
AC004381.7	chr16	0	0	1	0
AC004381.8	chr16	0	2	0	0
AC004381.9	chr16	1	0	0	0
AC004386.3	chrX	0	0	0	0
AC004448.5	chr17	1	0	2	0
AC004449.6	chr19	3	20	5	0
AC004461.4	chr22	0	0	0	0
AC004471.10	chr22	1	7	1	0
AC004471.9	chr22	0	4	0	0
AC004485.3	chr7	0	0	0	0
AC004490.1	chr19	219	186	325	0
AC004535.2	chr7	0	0	0	0
AC004538.3	chr7	1	1	3	0
AC004540.4	chr7	28	21	36	0
AC004540.5	chr7	36	38	18	0
AC004543.2	chr7	0	0	0	0
AC004623.2	chr19	125	262	15	0
AC004623.3	chr19	341	396	361	0
AC004637.1	chr19	0	1	0	0
AC004691.5	chr7	0	0	1	0
AC004692.4	chr7	0	0	0	0
AC004692.5	chr7	0	0	0	0
AC004702.2	chr17	0	0	0	0
AC004704.1	chr4	0	0	0	0
